trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,0,-122.15556009910486,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",30,0,-54.27011901693617,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,13,-50.90503105259691,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.631283645506926}",25,0,-57.29618871080671,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",25,16,-21.29717922229332,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",35,19,-40.82095410304681,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,4,-54.304265468321056,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,13,-96.16949443294303,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 2}",1
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,8,-34.24248939203072,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,9,-90.76641488576627,"{0: 9, 1: 2, 2: 0, 3: 5, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",30,4,-24.485785091215217,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",30,0,-70.92585754859282,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,7,-53.445181581468105,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",25,0,-111.31093969870271,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,5,-3.8132092753822735,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,-31.029160536327737,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,0,-77.59206998219302,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.5488116360940264}",25,7,-56.063613136712775,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,0,-19.217527423133042,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,0,-60.96110906263117,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",25,0,-56.72809433592027,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,7,-35.345146198085025,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.522045776761016}",30,16,15.83549107130459,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,0,-9.428444701709516,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",20,0,-67.75725611105639,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.5066169923655895}",25,0,-107.76955847341777,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.5015760690660555}",35,1,-24.084081032187804,"{0: 28, 1: 1, 2: 4, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49658530379140947}",25,13,-47.06221423908551,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,0,-17.25998262858948,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,0,-115.66569818412825,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",30,0,-57.04654551250025,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,1,-71.93214486781191,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,13,-8.469877071826573,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",35,16,-77.98654462992195,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,12,7.210788646573444,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4584060113052235}",30,9,-52.90066080268489,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",30,7,-31.595811444138214,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,10,16.83081044044998,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",30,9,-32.62596945602631,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 0}",1
